"focal","origin"
"Erykah Badu","Arrested Development"
"Les Nubians","Arrested Development"
"TobyMac","Arrested Development"
"Marc Ribot","Arsenio Rodríguez"
"DJ Shadow","Art Blakey"
"Digable Planets","Art Blakey"
"Bass Junkie","Arthur Baker"
"Man Parrish","Arthur Baker"
"Playgroup","Arthur Baker"
"The Egyptian Lover","Arthur Baker"
"Chromeo","Arthur Baker"
"DMX Krew","Arthur Baker"
"Dynamix II","Arthur Baker"
"Exposé","Arthur Baker"
"I-F","Arthur Baker"
"New Order","Arthur Baker"
"The 2 Live Crew","Arthur Baker"
"The Arabian Prince","Arthur Baker"
"The Juan MacLean","Arthur Baker"
"Mantronix","Arthur Russell"
"Arthur Baker","Arthur Russell"
"Ani DiFranco","Arto Lindsay"
"Bebel Gilberto","Arto Lindsay"
"Big Black","Arto Lindsay"
"Gastr del Sol","Arto Lindsay"
"Liars","Arto Lindsay"
"Royal Trux","Arto Lindsay"
"Rupa & the April Fishes","Arto Lindsay"
"Six Organs of Admittance","Arto Lindsay"
"Sondre Lerche","Arto Lindsay"
"Sonic Youth","Arto Lindsay"
"Stereolab","Arto Lindsay"
"Tortoise","Arto Lindsay"
"Ui","Arto Lindsay"
"The Streets","Ashley Beedle"
"MC Lars","Atmosphere"
"Macklemore & Ryan Lewis","Atmosphere"
"Macklemore","Atmosphere"
"Kwamé","Audio Two"
"Rob Base & DJ E-Z Rock","Audio Two"
"Gang Starr","Audio Two"
"Das EFX","Audio Two"
"Nice & Smooth","Audio Two"
"Redman","Audio Two"
"Huecco","Audioslave"
"Cex","Autechre"
"Four Tet","Autechre"
"Daedelus","Autechre"
"Machine Gun Kelly","Avenged Sevenfold"
"Compton's Most Wanted","Average White Band"
"Galactic","Average White Band"
"Eminem","AZ"
"Styles P","AZ"
"Lupe Fiasco","AZ"
"D12","AZ"
"Juice Aleem","AZ"
"DMX","AZ"
"El-P","AZ"
"Keith Ape","AZ"
"Saigon","AZ"
"Talib Kweli","AZ"
"Bosca","Azad"
"Sultana","Aziza A"
"Delinquent Habits","B Real"
"Mack 10","B Real"
"Mr. Capone-E","B Real"
"Noreaga","B Real"
"Phil Da Agony","B Real"
"Potluck","B Real"
"South Park Mexican","B Real"
"E.C. Illa","B-Movie Fiendz"
"Nicky Jam","Baby Rasta & Gringo"
"Z-Ro","Babyface"
"Tyrese","Babyface"
"MC Magic","Babyface"
"Lyfe Jennings","Babyface"
"Jermaine Dupri","Babyface"
"Lil Jon","Bad Brains"
"Ozomatli","Bad Brains"
"Public Enemy","Bad Brains"
"Beastie Boys","Bad Brains"
"Tommy Guerrero","Bad Brains"
"Urban Dance Squad","Bad Brains"
"Gonjasufi","Bad Brains"
"Gnarls Barkley","Badly Drawn Boy"
"Jean Grae","Bahamadia"
"Akwid","Banda Arkangel"
"Akwid","Banda Brava"
"Kenny Burrell","Barney Kessel"
"Wayne Wonder","Barrington Levy"
"Shaggy","Barrington Levy"
"Damian Marley","Barrington Levy"
"Snoop Dogg","Barry White"
"Fun Lovin' Criminals","Barry White"
"R. Kelly","Barry White"
"Nate Dogg","Barry White"
"Big Daddy Kane","Barry White"
"The Egyptian Lover","Barry White"
"Biz Markie","Barry White"
"Themselves","Basehead"
"Speech Debelle","Basehead"
"Cadence Weapon","Basement Jaxx"
"N.A.S.A.","Basement Jaxx"
"DJ /rupture","Basic Channel"
"Dopestyle 1231","Bauhaus"
"Freeway","Beanie Sigel"
"Saigon","Beanie Sigel"
"Rick Ross","Beanie Sigel"
"Lil Uzi Vert","Beanie Sigel"
"Young Chris","Beanie Sigel"
"Young Gunz","Beanie Sigel"
"Potluck","Beastie Boys"
"Eminem","Beastie Boys"
"Natas","Beastie Boys"
"B Real","Beastie Boys"
"Artfull Dodgers","Beastie Boys"
"Esham","Beastie Boys"
"Brother Ali","Beastie Boys"
"G. Love & Special Sauce","Beastie Boys"
"Northern State","Beastie Boys"
"Jamie T.","Beastie Boys"
"Grand Buffet","Beastie Boys"
"Aesop Rock","Beastie Boys"
"Everlast","Beastie Boys"
"Cypress Hill","Beastie Boys"
"Linkin Park","Beastie Boys"
"Kool Keith","Beastie Boys"
"Kid Acne","Beastie Boys"
"Vanilla Ice","Beastie Boys"
"Handsome Boy Modeling School","Beastie Boys"
"Kaboose","Beastie Boys"
"G. Love","Beastie Boys"
"N.E.R.D","Beastie Boys"
"Spank Rock","Beastie Boys"
"Len","Beastie Boys"
"Atmosphere","Beastie Boys"
"Fun Lovin' Criminals","Beastie Boys"
"Kid Koala","Beastie Boys"
"Winnie Coopers","Beastie Boys"
"The Cool Kids","Beastie Boys"
"3OH!3","Beastie Boys"
"DJ Shadow","Beastie Boys"
"Mark Ronson","Beastie Boys"
"Pigeon John","Beastie Boys"
"Asher Roth","Beastie Boys"
"Mr. Lif","Beastie Boys"
"MC Lars","Beastie Boys"
"Tha Alkaholiks","Beastie Boys"
"Princess Superstar","Beastie Boys"
"Electric Laser People","Beastie Boys"
"The YMD","Beastie Boys"
"Eric Bobo","Beastie Boys"
"The Saturday Knights","Beastie Boys"
"Sirens","Beastie Boys"
"Hangar 18","Beastie Boys"
"Bob Da Rage Sense","Beastie Boys"
"House of Pain","Beastie Boys"
"Kid Rock","Beastie Boys"
"Insane Clown Posse","Beastie Boys"
"Young MC","Beastie Boys"
"Classified","Beastie Boys"
"N.W.A","Beastie Boys"
"Bliss N Eso","Beastie Boys"
"Dirty Heads","Beastie Boys"
"Young Black Teenagers","Beastie Boys"
"Das Racist","Beastie Boys"
"Yelawolf","Beastie Boys"
"3rd Bass","Beastie Boys"
"Lordz of Brooklyn","Beastie Boys"
"Sean Forbes","Beastie Boys"
"N.A.S.A.","Beastie Boys"
"311","Beastie Boys"
"Benny Cassette","Beastie Boys"
"Bloodhound Gang","Beastie Boys"
"Buffalo Daughter","Beastie Boys"
"Cake","Beastie Boys"
"Cibo Matto","Beastie Boys"
"Cornelius","Beastie Boys"
"Fatboy Slim","Beastie Boys"
"Incubus","Beastie Boys"
"Kesha","Beastie Boys"
"King Missile","Beastie Boys"
"Korn","Beastie Boys"
"Le Tigre","Beastie Boys"
"Limp Bizkit","Beastie Boys"
"Luke Vibert","Beastie Boys"
"Luscious Jackson","Beastie Boys"
"Moor Mother","Beastie Boys"
"Pop Will Eat Itself","Beastie Boys"
"Rage Against the Machine","Beastie Boys"
"Rat Boy","Beastie Boys"
"Sean Lennon","Beastie Boys"
"Smash Mouth","Beastie Boys"
"Sneaker Pimps","Beastie Boys"
"Solex","Beastie Boys"
"Soul Coughing","Beastie Boys"
"Sublime","Beastie Boys"
"The Avalanches","Beastie Boys"
"The Chemical Brothers","Beastie Boys"
"The Go! Team","Beastie Boys"
"The Moldy Peaches","Beastie Boys"
"The Prodigy","Beastie Boys"
"The So So Glos","Beastie Boys"
"UNKLE","Beastie Boys"
"Hot Chip","Beck"
"Jamie T.","Beck"
"Everlast","Beck"
"Gorillaz","Beck"
"Muck Sticky","Beck"
"Pigeon John","Beck"
"Electric Laser People","Beck"
"BS 2000","Beck"
"OMC","Beck"
"The Constellations","Beck"
"Har Mar Superstar","Bee Gees"
"Busta Rhymes","Beenie Man"
"Dizzee Rascal","Beenie Man"
"Pretty Ricky","Bell Biv DeVoe"
"Puff Daddy","Bell Biv DeVoe"
"Why?","Ben Folds Five"
"Quincy Jones","Benny Carter"
"Sean Kingston","Beres Hammond"
"Wayne Wonder","Beres Hammond"
"The Herbaliser","Bernard Herrmann"
"Brian Tyler","Bernard Herrmann"
"Queen Latifah","Bessie Smith"
"Estelle","Betty Davis"
"Missy Elliott","Betty Davis"
"Roxanne Shanté","Betty Davis"
"Cherish","Beyoncé"
"Karol G","Beyoncé"
"Big K.R.I.T.","Big Boi"
"Fat Pat","Big Boy"
"Don Omar","Big Boy"
