"focal","origin"
"Shawn Lee","Sly & the Family Stone"
"Sean Price","Smif-N-Wessun"
"Astronautalis","Smog"
"R. Kelly","Smokey Robinson"
"Grace","Smokey Robinson"
"Ill Bill","Smut Peddlers"
"Shamir","Snap"
"Gorillaz","Sneaker Pimps"
"Diplo","Sneaker Pimps"
"Do or Die","Snoop Dogg"
"Eminem","Snoop Dogg"
"Bizzy Bone","Snoop Dogg"
"Juvenile","Snoop Dogg"
"Master P","Snoop Dogg"
"Ludacris","Snoop Dogg"
"Obie Trice","Snoop Dogg"
"Keak da Sneak","Snoop Dogg"
"Joeystarr","Snoop Dogg"
"The Game","Snoop Dogg"
"Da Unda Dogg","Snoop Dogg"
"Lil' Keke","Snoop Dogg"
"Clipse","Snoop Dogg"
"Birdman","Snoop Dogg"
"Lil Wayne","Snoop Dogg"
"50 Cent","Snoop Dogg"
"Freeway","Snoop Dogg"
"La Fouine","Snoop Dogg"
"Chingy","Snoop Dogg"
"Mims","Snoop Dogg"
"Roscoe","Snoop Dogg"
"T.I.","Snoop Dogg"
"Ja Rule","Snoop Dogg"
"Crooked","Snoop Dogg"
"Akwid","Snoop Dogg"
"Nelly","Snoop Dogg"
"Eve","Snoop Dogg"
"Boyz N da Hood","Snoop Dogg"
"Young Jeezy","Snoop Dogg"
"Bow Wow","Snoop Dogg"
"Omar Cruz","Snoop Dogg"
"Devin the Dude","Snoop Dogg"
"Webbie","Snoop Dogg"
"T-Bone","Snoop Dogg"
"Bubba Sparxxx","Snoop Dogg"
"Musab","Snoop Dogg"
"Domino","Snoop Dogg"
"Fatal","Snoop Dogg"
"Pusha T","Snoop Dogg"
"Kid Cudi","Snoop Dogg"
"Bliss N Eso","Snoop Dogg"
"Kendrick Lamar","Snoop Dogg"
"YG","Snoop Dogg"
"Flatbush Zombies","Snoop Dogg"
"Top Authority","Snoop Dogg"
"40 Thevz","Snoop Dogg"
"New Boyz","Snoop Dogg"
"Glasses Malone","Snoop Dogg"
"Jay Rock","Snoop Dogg"
"Chris Webby","Snoop Dogg"
"Freddie Gibbs","Snoop Dogg"
"Crime Boss","Snoop Dogg"
"Lil' Ru","Snoop Dogg"
"2Wice","Snoop Dogg"
"Bone Thugs-N-Harmony","Snoop Dogg"
"C-Murder","Snoop Dogg"
"Hare Squead","Snoop Dogg"
"Kane & Abel","Snoop Dogg"
"KDA","Snoop Dogg"
"Kurupt","Snoop Dogg"
"Luniz","Snoop Dogg"
"Mystikal","Snoop Dogg"
"Pell","Snoop Dogg"
"Rob $tone","Snoop Dogg"
"Silkk the Shocker","Snoop Dogg"
"Soulja Slim","Snoop Dogg"
"Statik Kxng","Snoop Dogg"
"Stresmatic","Snoop Dogg"
"Suga Free","Snoop Dogg"
"Tha Eastsidaz","Snoop Dogg"
"Xzibit","Snoop Dogg"
"Wiley","So Solid Crew"
"N-Dubz","So Solid Crew"
"Lady Sovereign","So Solid Crew"
"Tinie Tempah","So Solid Crew"
"Hot Chip","Soft Cell"
"Rick Wakeman","Soft Machine"
"Michna","Solvent"
"Busta Rhymes","Son of Bazerk"
"Ludacris","Son of Bazerk"
"Mystikal","Son of Bazerk"
"Restiform Bodies","Sonic Youth"
"DJ Spooky","Sonic Youth"
"Iswhat?!","Sonny Rollins"
"Marc Ribot","Sonny Sharrock"
"Westside Connection","Soul Assassins"
"The Living Legends","Soul Assassins"
"MC Lars","Soul Coughing"
"Monie Love","Soul II Soul"
"Les Nubians","Soul II Soul"
"Thunderheist","Soul II Soul"
"MobSquad Nard","Soulja Slim"
"Maine Musik","Soulja Slim"
"Slum Village","Souls of Mischief"
"Shwayze","Souls of Mischief"
"The Knux","Souls of Mischief"
"People Under the Stairs","Souls of Mischief"
"will.i.am","Souls of Mischief"
"Blackalicious","Souls of Mischief"
"Soundsci","Souls of Mischief"
"Dilated Peoples","Souls of Mischief"
"Electric Guest","Souls of Mischief"
"Jurassic 5","Souls of Mischief"
"L.A. Salami","Souls of Mischief"
"Tha Dogg Pound","South Central Cartel"
"Gorilla Zoe","South Circle"
"Gang Colours","Spacek"
"The Black Eyed Peas","Spearhead"
"Shwayze","Spearhead"
"Flobots","Spearhead"
"Lando Chill","Spearhead"
"Speech Debelle","Spearhead"
"Saukrates","Special Ed"
"Wisin & Yandel","Speedy"
"Master P","Spice 1"
"C-BO","Spice 1"
"C-Murder","Spice 1"
"Lupe Fiasco","Spice 1"
"Rappin' 4-Tay","Spice 1"
"Danny Brown","Spice 1"
"Crime Boss","Spice 1"
"Run-D.M.C.","Spoonie Gee"
"Ol' Dirty Bastard","Spoonie Gee"
"Jungle Brothers","Spoonie Gee"
"Will Smith","Spoonie Gee"
"Masta Ace","Spoonie Gee"
"Kool Moe Dee","Spoonie Gee"
"Doug E. Fresh","Spoonie Gee"
"Four Tet","Squarepusher"
"Lee Bannon","Squarepusher"
"Iglooghost","Squarepusher"
"A$AP Twelvyy","Stack Bundles"
"The Free Design","Stan Getz"
"Kool G Rap","Steady B"
"V-White","Steady B"
"Company Flow","Steady B"
"Heavy D","Steel Pulse"
"Shinehead","Steel Pulse"
"N.E.R.D","Steely Dan"
"Public Enemy","Steinski"
"Beastie Boys","Steinski"
"Prince Paul","Steinski"
"Girl Talk","Steinski"
"DJ Shadow","Steinski"
"Mr. Scruff","Steinski"
"Jib Kidder","Steinski"
"Coldcut","Steinski"
"Cut Chemist","Steinski"
"De La Soul","Steinski"
"Jason Forrest","Steinski"
"Kid Koala","Steinski"
"Meat Beat Manifesto","Steinski"
"The Avalanches","Steinski"
"Miri Ben-Ari","Stéphane Grappelli"
"P.M. Dawn","Stephen Wiley"
"Lyrics Born","Stereo MC's"
"Just Jack","Stereo MC's"
"RJD2","Stereolab"
"Hot Chip","Stereolab"
"Restiform Bodies","Stereolab"
"The Roots","Stetsasonic"
"Talib Kweli","Stetsasonic"
"Brand Nubian","Stetsasonic"
"Public Enemy","Stetsasonic"
"Del the Funky Homosapien","Stetsasonic"
"MF Doom","Stetsasonic"
"Shyne","Stetsasonic"
"Beans","Stetsasonic"
"Handsome Boy Modeling School","Stetsasonic"
"OutKast","Stetsasonic"
"De La Soul","Stetsasonic"
"Ultramagnetic MC's","Stetsasonic"
"Gorillaz","Stetsasonic"
"Jungle Brothers","Stetsasonic"
"The Knux","Stetsasonic"
"Q-Tip","Stetsasonic"
"Arrested Development","Stetsasonic"
"Platinum Pied Pipers","Stetsasonic"
"Blackalicious","Stetsasonic"
"Pete Rock","Stetsasonic"
"Will Smith","Stetsasonic"
"Themselves","Stetsasonic"
"Freestyle Fellowship","Stetsasonic"
"Leaders of the New School","Stetsasonic"
"Digable Planets","Stetsasonic"
"Queen Latifah","Stetsasonic"
"MC 900 Ft. Jesus","Stetsasonic"
"Gang Starr","Stetsasonic"
"Boo-Yaa T.R.I.B.E.","Stetsasonic"
"Chubb Rock","Stetsasonic"
"Audio Two","Stetsasonic"
"3rd Bass","Stetsasonic"
"Black, Rock & Ron","Stetsasonic"
"Gravediggaz","Stetsasonic"
"Poor Righteous Teachers","Stetsasonic"
"Travis Barker","Steve Gadd"
"DJ Spooky","Steve Reich"
"Pole","Steve Reich"
"Trip Lee","Stevie Wonder"
"Common","Stevie Wonder"
"Coolio","Stevie Wonder"
"N.E.R.D","Stevie Wonder"
"De La Soul","Stevie Wonder"
"Mic Geronimo","Stevie Wonder"
"Nicolay","Stevie Wonder"
"Speech","Stevie Wonder"
"Gnarls Barkley","Stevie Wonder"
"Just Jack","Stevie Wonder"
"Aloe Blacc","Stevie Wonder"
"Jahir & The Experiment","Stevie Wonder"
"R. Kelly","Stevie Wonder"
"Will Smith","Stevie Wonder"
"A Tribe Called Quest","Stevie Wonder"
"P.M. Dawn","Stevie Wonder"
"Wayne Wonder","Stevie Wonder"
"Carl Thomas","Stevie Wonder"
"Matthew Shipp","Stevie Wonder"
"Doug E. Fresh","Stevie Wonder"
"Yesterdays New Quintet","Stevie Wonder"
"Travis Barker","Stewart Copeland"
"Weapon of Choice","Stone Gossard"
"Doughboyz Cashout","Street Lord'z"
"Potluck","Sublime"
"Murs","Sublime"
"Shwayze","Sublime"
"Asher Roth","Sublime"
"Dirty Heads","Sublime"
"Identity Crisis","Sugar Hill"
"Shwayze","Sugar Ray"
"Kool Keith","Sun Ra"
"Beans","Sun Ra"
"Madlib","Sun Ra"
"Caural","Sun Ra"
"DJ Spooky","Sun Ra"
"Madvillain","Sun Ra"
"Four Tet","Sun Ra"
"Quasimoto","Sun Ra"
"Deltron 3030","Sun Ra"
"Ras G","Sun Ra"
"Matthew Shipp","Sun Ra"
"William Parker","Sun Ra"
"Marc Ribot","Sun Ra"
"Philadelphia Experiment","Sun Ra"
"Breakestra","Sun Ra & His Arkestra"
"Wisin & Yandel","Super Cat"
"Daddy Yankee","Super Cat"
"Sean Kingston","Super Cat"
"Masters of Ceremony","Super Lover Cee & Casanova Rud"
"Rohff","Suprême NTM"
"La Fouine","Suprême NTM"
"Biz Markie","Swamp Dogg"
"Les Nubians","Sweet Honey in the Rock"
"G. Love","Swingin' Neckbreakers"
"Kid Ink","Swizz Beats"
"AraabMuzik","Swizz Beatz"
"The Weeknd","Swizz Beatz"
"Cherish","SWV"
"The Sequence","Sylvia Robinson"
"Linkin Park","System of a Down"
"Pouya","System of a Down"
"KJ-52","T-Bone"
"PSY","T-Pain"
"24hrs","T-Pain"
"Trippie Redd","T-Pain"
"Verse Simmonds","T-Pain"
"Yung Joc","T.I."
"Gorilla Zoe","T.I."
"Maceo","T.I."
"Rich Boy","T.I."
"B.o.B","T.I."
"Travis Scott","T.I."
"OJ da Juiceman","T.I."
"Big Kuntry","T.I."
"CJ Flemings","T.I."
"Deante' Hitchcock","T.I."
"Herobust","T.I."
"Nefew","T.I."
"PSC (Pimp Squad Click)","T.I."
"Young Dro","T.I."
"Young Jeezy","T.I."
"Mac Miller","Tabi Bonney"
"Birdman","Tag Team"
"Trina","Tairrie B."
"Danny!","Talib Kweli"
"Super Chron Flight Brothers","Talib Kweli"
"Madcon","Talib Kweli"
"Skyzoo","Talib Kweli"
"Curren$y","Talib Kweli"
"Macklemore & Ryan Lewis","Talib Kweli"
"Aristophanes","Talib Kweli"
"BS 2000","Talking Heads"
"N.A.S.A.","Talking Heads"
"Salt-N-Pepa","Tammi Terrell"
"Global Communication","Tangerine Dream"
"Speech Debelle","Tasmin Archer"
"Fergie","Taylor Dayne"
"Chris Webby","Tech N9ne"
"B.G. Bulletwound","Tech N9ne"
"Krizz Kaliko","Tech N9ne"
"Kutt Calhoun","Tech N9ne"
"Snug Brim","Tech N9ne"
"Old Apparatus","Techno Animal"
"Kid Rock","Ted Nugent"
"R. Kelly","Teddy Pendergrass"
"Har Mar Superstar","Teddy Pendergrass"
"Pharrell Williams","Teddy Riley"
"Timbaland","Teddy Riley"
"Parking Lot Pimp","Teddy Riley"
"The Neptunes","Teddy Riley"
"Kenny ""Dope"" Gonzalez","Tee Scott"
"Missy Elliott","Teena Marie"
"Arcángel","Tego Calderón"
"Alexis & Fido","Tego Calderón"
"J Alvarez","Tego Calderón"
"Khriz y Angel","Tego Calderón"
"Pocho Pan","Tego Calderón"
"Tony Dize","Tego Calderón"
"Voltio","Tego Calderón"
"Zion & Lennox","Tego Calderón"
"Mike City","Ten City"
"Marquis Hill","Terence Blanchard"
"Purple City","Terror Squad"
"A$AP Rocky","Terror Squad"
"Damon Aaron","Terry Callier"
"Pharrell Williams","Terry Lewis"
"Timbaland","Terry Lewis"
"Jermaine Dupri","Terry Lewis"
"Arto Lindsay","Terry Riley"
"Food for Animals","Test Dept."
"Chris Brown","Tevin Campbell"
"Potluck","Tha Alkaholiks"
"Murs","Tha Alkaholiks"
"The Living Legends","Tha Alkaholiks"
"The Knux","Tha Alkaholiks"
"Classified","Tha Alkaholiks"
"Quelle Chris","Tha Alkaholiks"
"The Grouch & Eligh","Tha Alkaholiks"
"Heltah Skeltah","Tha Dogg Pound"
"Chamillionaire","Tha Dogg Pound"
"DJ Esco","Tha Dogg Pound"
"G Perico","Tha Dogg Pound"
"G-Unit","Tha Dogg Pound"
"Killer Mike","Tha Dogg Pound"
"The Game","Tha Dogg Pound"
"Lil Jon","The 2 Live Crew"
"Juvenile","The 2 Live Crew"
"Master P","The 2 Live Crew"
"Pitbull","The 2 Live Crew"
"Trick Daddy","The 2 Live Crew"
"Young Buck","The 2 Live Crew"
"Ludacris","The 2 Live Crew"
"DJ Screw","The 2 Live Crew"
"8Ball","The 2 Live Crew"
"C-Murder","The 2 Live Crew"
"Three 6 Mafia","The 2 Live Crew"
"Funkdoobiest","The 2 Live Crew"
"Grand Buffet","The 2 Live Crew"
"Birdman","The 2 Live Crew"
"Afroman","The 2 Live Crew"
"Ol' Dirty Bastard","The 2 Live Crew"
"Dem Franchize Boyz","The 2 Live Crew"
"Rick Ross","The 2 Live Crew"
"Geto Boys","The 2 Live Crew"
"Choppa","The 2 Live Crew"
"Spank Rock","The 2 Live Crew"
"Ying Yang Twins","The 2 Live Crew"
"Lil Jon & the East Side Boyz","The 2 Live Crew"
"Big Kuntry King","The 2 Live Crew"
"Plies","The 2 Live Crew"
"Mr. Dé","The 2 Live Crew"
"DJ Godfather","The 2 Live Crew"
"Shop Boyz","The 2 Live Crew"
"Big Mike","The 2 Live Crew"
"Lil Scrappy","The 2 Live Crew"
"MJG","The 2 Live Crew"
"Trillville","The 2 Live Crew"
"Yo Majesty","The 2 Live Crew"
"Rehab","The 2 Live Crew"
"YoungBloodZ","The 2 Live Crew"
"DJ Assault","The 2 Live Crew"
"95 South","The 2 Live Crew"
"Cash Money Millionaires","The 2 Live Crew"
"Boondox","The 2 Live Crew"
"Violent J","The 2 Live Crew"
"MC Mack","The 2 Live Crew"
"Barsha","The 2 Live Crew"
"69 Boyz","The 2 Live Crew"
"Bone Thugs-N-Harmony","The 2 Live Crew"
"Freak Nasty","The 2 Live Crew"
"Kid Rock","The 2 Live Crew"
"Kool Keith","The 2 Live Crew"
"Lil' Kim","The 2 Live Crew"
"Naughty by Nature","The 2 Live Crew"
"Poison Clan","The 2 Live Crew"
"Tag Team","The 2 Live Crew"
"Rehab","The Allman Brothers Band"
"Lilacs & Champagne","The American Analog Set"
"James Pants","The Arabian Prince"
"Antipop Consortium","The Art Ensemble of Chicago"
"William Parker","The Art Ensemble of Chicago"
"Definition of Sound","The Art of Noise"
"Dizzee Rascal","The Artful Dodger"
"Murs","The Artifacts"
"Lilacs & Champagne","The Avalanches"
"The Chicharones","The Beach Boys"
"The Free Design","The Beach Boys"
"Sergio Mendes","The Beach Boys"
"The Saturday Knights","The Beach Boys"
"Jonti","The Beach Boys"
"A-Trak","The Beat Junkies"
"Mike Relm","The Beat Junkies"
"Mr. Dibbs","The Beat Junkies"
"Neffa","The Beatles"
"Romanowski","The Beatles"
"Sergio Mendes","The Beatles"
"Jahir & The Experiment","The Beatles"
"The Saturday Knights","The Beatles"
"Danger Mouse","The Beatles"
"Faust","The Beatles"
"Dälek","The Beatnigs"
"Cormega","The Beatnuts"
"Heltah Skeltah","The Beatnuts"
"K.M.D.","The Beatnuts"
"Capone-N-Noreaga","The Beatnuts"
"El-P","The Beatnuts"
"Screwball","The Beatnuts"
"Willie Stubz","The Beatnuts"
"Lilacs & Champagne","The Beta Band"
"Push Button Objects","The Black Dog"
"Madcon","The Black Eyed Peas"
"Sean Kingston","The Black Eyed Peas"
"Far East Movement","The Black Eyed Peas"
"LMFAO","The Black Eyed Peas"
"Jungle Brothers","The Blackbyrds"
"The Alchemist","The Bomb Squad"
"Red Ants","The Bomb Squad"
"Timbaland","The Bomb Squad"
"Irv Gotti","The Bomb Squad"
"Young Black Teenagers","The Bomb Squad"
"Bow Wow","The Boys"
"Galactic","The Brand New Heavies"
"Flying Lotus","The Bug"
"Gym Class Heroes","The Cars"
"Urban Dance Squad","The Chambers Brothers"
"Cowboy Troy","The Charlie Daniels Band"
"Hot Chip","The Chemical Brothers"
"Diplo","The Chemical Brothers"
"Dub Pistols","The Chemical Brothers"
"Ozomatli","The Clash"
"Jamie T.","The Clash"
"Public Enemy","The Clash"
"The Saturday Knights","The Clash"
"Monster","The Clash"
"Travis Barker","The Clash"
"Pazdat","The Click"
"Blowfly","The Coasters"
"The Nomads","The Count Bishops"
"Dead Prez","The Coup"
"Planet Asia","The Coup"
"Shwayze","The Coup"
"Flobots","The Coup"
"Immortal Technique","The Coup"
"Mr. Lif","The Coup"
"Non-Phixion","The Coup"
"Rasco","The Coup"
"Truth Universal","The Coup"
"The Nomads","The Cramps"
"Nas","The D.O.C."
"Celly Cel","The D.O.C."
"Baby Bash","The D.O.C."
"Capone-N-Noreaga","The D.O.C."
"Tha Dogg Pound","The D.O.C."
"OJ da Juiceman","The D.O.C."
"Russell Gunn","The Dave Brubeck Quartet"
"Gorilla Zoe","The Dayton Family"
"Juicy J","The Dayton Family"
"Jon Connor","The Dayton Family"
"Twiztid","The Dayton Family"
"N.W.A","The Delfonics"
"A$AP Rocky","The Diplomats"
"Young Money","The Diplomats"
"Galactic","The Dirty Dozen Brass Band"
"The Roots","The Disposable Heroes of Hiphoprisy"
"Common","The Disposable Heroes of Hiphoprisy"
"Wyclef Jean","The Disposable Heroes of Hiphoprisy"
"P.O.S","The Disposable Heroes of Hiphoprisy"
"Fugees","The Disposable Heroes of Hiphoprisy"
"The Coup","The Disposable Heroes of Hiphoprisy"
"The Pharcyde","The Disposable Heroes of Hiphoprisy"
"G. Love","The Doors"
"Snoop Dogg","The Dramatics"
"Too $hort","The Egyptian Lover"
"Digital Underground","The Egyptian Lover"
"Richie Rich","The Egyptian Lover"
"James Pants","The Egyptian Lover"
"Mark Ronson","The Egyptian Lover"
"Eazy-E","The Egyptian Lover"
"Dr. Dre","The Egyptian Lover"
"Big Daddy Kane","The Egyptian Lover"
"N.W.A","The Egyptian Lover"
"DMX Krew","The Egyptian Lover"
"Kanye West","The Egyptian Lover"
"OutKast","The Egyptian Lover"
"Playdoe","The Egyptian Lover"
"Hanz","The Fall"
"Twista","The Fat Boys"
"Phat Kat","The Fat Boys"
"Ugly Duckling","The Fat Boys"
"Beastie Boys","The Fat Boys"
"Sir Mix-A-Lot","The Fat Boys"
"Will Smith","The Fat Boys"
"Majik Most","The Fat Boys"
"DJ Jazzy Jeff & the Fresh Prince","The Fat Boys"
"Heavy D & the Boyz","The Fat Boys"
"Biz Markie","The Fat Boys"
"Young Black Teenagers","The Fat Boys"
"Chubb Rock","The Fat Boys"
"Rahzel","The Fat Boys"
"Company Flow","The Fat Boys"
"Luther Campbell","The Fat Boys"
"Skinny Boys","The Fat Boys"
"Stresmatic","The Fat Boys"
"The Fat Boys","The Fatback Band"
"Trouble Funk","The Fatback Band"
"The Egyptian Lover","The Fatback Band"
"Treacherous Three","The Fatback Band"
"Stetsasonic","The Fatback Band"
"Kurtis Blow","The Fatback Band"
"Sylk-E. Fyne","The Firm"
"Why?","The Flaming Lips"
"Boot Camp Clik","The Flavor Unit MC's"
"Beck","The Free Design"
"Belle and Sebastian","The Free Design"
"Caribou","The Free Design"
"Color Bars","The Free Design"
"Cornelius","The Free Design"
"Dressy Bessy","The Free Design"
"Flat Five","The Free Design"
"Pizzicato Five","The Free Design"
"Stereolab","The Free Design"
"Super Furry Animals","The Free Design"
"The High Llamas","The Free Design"
"The Kingsbury Manx","The Free Design"
"The Ladybug Transistor","The Free Design"
"Shad","The Fresh Prince"
"Drama","The Funky Four"
"Kerser","The Game"
"Glasses Malone","The Game"
"Willy Northpole","The Game"
"Guilty Simpson","The Game"
"Jay Rock","The Game"
"Kalidonia","The Game"
"Snoop Dogg","The Gap Band"
"DJ Fresh","The Gap Band"
"Purple City","The Ghetto Dwellas"
"Cali Agents","The Grouch & Eligh"
"Fort Minor","The Grouch & Eligh"
"Likwit Junkies","The Grouch & Eligh"
"The Free Design","The Hi-Lo's"
"Asher Roth","The High & Mighty"
"Jungle Brothers","The Holmes Brothers"
"Maceo","The Hot Boys"
"Boyz N da Hood","The Hot Boys"
"Webbie","The Hot Boys"
"Boosie Badazz","The Hot Boys"
"Lil' Ru","The Hot Boys"
"K Camp","The Hot Boys"
"Loso Loaded","The Hot Boys"
"Maine Musik","The Hot Boys"
"Boondox","The Howling Diablos"
"The Cool Kids","The Isley Brothers"
"R. Kelly","The Isley Brothers"
"Salt-N-Pepa","The Isley Brothers"
"The Roots","The J.B.'s"
"De La Soul","The J.B.'s"
"Galactic","The J.B.'s"
"Trouble Funk","The J.B.'s"
"The RH Factor","The J.B.'s"
"Pretty Ricky","The Jackson 5"
"The Sugarhill Gang","The Jimmy Castor Bunch"
"Gnarls Barkley","The Juan MacLean"
"Stereo MC's","The KLF"
"Goldie Lookin Chain","The KLF"
"The Artifacts","The KLF"
"Sarah Ross","The Lacs"
"M-1","The Last Poets"
"KRS-One","The Last Poets"
"X Clan","The Last Poets"
"Paris","The Last Poets"
"The Coup","The Last Poets"
"The Roots","The Last Poets"
"Common","The Last Poets"
"Brand Nubian","The Last Poets"
"Public Enemy","The Last Poets"
"Saul Williams","The Last Poets"
"Beans","The Last Poets"
"Ice-T","The Last Poets"
"G. Love","The Last Poets"
"Black Panther Fugitives","The Last Poets"
"Ursula Rucker","The Last Poets"
"The Sugarhill Gang","The Last Poets"
"Iswhat?!","The Last Poets"
"El-P","The Last Poets"
"Antipop Consortium","The Last Poets"
"Eric B. & Rakim","The Last Poets"
"Boogie Down Productions","The Last Poets"
"Digable Planets","The Last Poets"
"Treacherous Three","The Last Poets"
"Kurtis Blow","The Last Poets"
"Def Jef","The Last Poets"
"Afrika Bambaataa","The Last Poets"
"Arrested Development","The Last Poets"
"Guru","The Last Poets"
"Jungle Brothers","The Last Poets"
"K.M.D.","The Last Poets"
"Mos Def","The Last Poets"
"Stetsasonic","The Last Poets"
"Wu-Tang Clan","The Last Poets"
"Jamie T.","The Libertines"
"Potluck","The Living Legends"
"People Under the Stairs","The Living Legends"
"ScHoolboy Q","The Living Legends"
"Blue Scholars","The Living Legends"
"Cali Agents","The Living Legends"
"Common Market","The Living Legends"
"Doomtree","The Living Legends"
"Strong Arm Steady","The Living Legends"
"The Perceptionists","The Living Legends"
"The Weathermen","The Living Legends"
"Canibus","The Lost Boyz"
"Litefoot","The Lost Boyz"
"24/7","The Lost Boyz"
"A+","The Lost Boyz"
"Cam'ron","The Lost Boyz"
"Clipse","The Lost Boyz"
"DMX","The Lost Boyz"
"Ja Rule","The Lost Boyz"
"Jigmastas","The Lost Boyz"
"Tracey Lee","The Lost Boyz"
"Ransom","The LOX"
"Re-Up Gang","The LOX"
"Flo Rida","The LOX"
"Don Q","The LOX"
"Blac Haze","The Luniz"
"2Wice","The Luniz"
"Strong Asian Mothers","The Luniz"
"Beastie Boys","The Meters"
"De La Soul","The Meters"
"ESG","The Meters"
"Galactic","The Meters"
"Stetsasonic","The Meters"
"Traxamillion","The Neptunes"
"Acafool","The Neptunes"
"The Knux","The Neptunes"
"Re-Up Gang","The Neptunes"
"J*Davey","The Neptunes"
"Parking Lot Pimp","The Neptunes"
"Kevin Rudolf","The Neptunes"
"Kid Cudi","The Neptunes"
"B.o.B","The Neptunes"
"Far East Movement","The Neptunes"
"Sir Michael Rocks","The Neptunes"
"N.A.S.A.","The Neptunes"
"Blvk Jvck","The Neptunes"
"Calvin Harris","The Neptunes"
"Christian Rich","The Neptunes"
"Dornik","The Neptunes"
"GTA","The Neptunes"
"Maejor","The Neptunes"
"Nicky Blitz","The Neptunes"
"Steve Lacy","The Neptunes"
"The Cataracs","The Neptunes"
"Noriega","The Noise"
"Lloyd Banks","The Notorious B.I.G."
"Eminem","The Notorious B.I.G."
"Lil' Kim","The Notorious B.I.G."
"Styles P","The Notorious B.I.G."
"Juvenile","The Notorious B.I.G."
"Trick Daddy","The Notorious B.I.G."
"Beanie Sigel","The Notorious B.I.G."
"The Game","The Notorious B.I.G."
"Lil O","The Notorious B.I.G."
"Papoose","The Notorious B.I.G."
"Lil' Keke","The Notorious B.I.G."
"Ray Cash","The Notorious B.I.G."
"Rohff","The Notorious B.I.G."
"Hell Rell","The Notorious B.I.G."
"Hilltop Hoods","The Notorious B.I.G."
"Lil Wayne","The Notorious B.I.G."
"Jadakiss","The Notorious B.I.G."
"Fabolous","The Notorious B.I.G."
"50 Cent","The Notorious B.I.G."
"Freeway","The Notorious B.I.G."
"Benzino","The Notorious B.I.G."
"Guerilla Black","The Notorious B.I.G."
"D-Block","The Notorious B.I.G."
"Mase","The Notorious B.I.G."
"Shyne","The Notorious B.I.G."
"Crooked","The Notorious B.I.G."
"Rick Ross","The Notorious B.I.G."
"Black Rob","The Notorious B.I.G."
"Don Omar","The Notorious B.I.G."
"Reynos","The Notorious B.I.G."
"G. Dep","The Notorious B.I.G."
"Capone-N-Noreaga","The Notorious B.I.G."
"Red Café","The Notorious B.I.G."
"Foxy Brown","The Notorious B.I.G."
"Re-Up Gang","The Notorious B.I.G."
"Blood Raw","The Notorious B.I.G."
"Boyz N da Hood","The Notorious B.I.G."
"Grafh","The Notorious B.I.G."
"Young Jeezy","The Notorious B.I.G."
"Flo Rida","The Notorious B.I.G."
"Nine","The Notorious B.I.G."
"Big Sean","The Notorious B.I.G."
"Joe Budden","The Notorious B.I.G."
"Kendrick Lamar","The Notorious B.I.G."
"Skyzoo","The Notorious B.I.G."
"YG","The Notorious B.I.G."
"Flatbush Zombies","The Notorious B.I.G."
"Jovishes","The Notorious B.I.G."
"Sicx","The Notorious B.I.G."
"Young Money","The Notorious B.I.G."
"Joey Bada$$","The Notorious B.I.G."
"Kodak Black","The Notorious B.I.G."
"Skull Gang","The Notorious B.I.G."
"Cousin Stizz","The Notorious B.I.G."
"Terror Danjah","The Notorious B.I.G."
"Adiam","The Notorious B.I.G."
"Big Pun","The Notorious B.I.G."
"CJ Fly","The Notorious B.I.G."
"DJ Esco","The Notorious B.I.G."
"Faith Evans","The Notorious B.I.G."
"Herobust","The Notorious B.I.G."
"Jez Dior","The Notorious B.I.G."
"Junior M.A.F.I.A.","The Notorious B.I.G."
"Lil' Cease","The Notorious B.I.G."
"Miguel","The Notorious B.I.G."
"Nick Grant","The Notorious B.I.G."
"Rituals of Mine","The Notorious B.I.G."
"Statik Kxng","The Notorious B.I.G."
"ZAYN","The Notorious B.I.G."
"Zayn Malik","The Notorious B.I.G."
"Linkin Park","The Offspring"
"Four Tet","The Orb"
"Snoop Dogg","The Persuasions"
"Madlib","The Pharaohs"
"Murs","The Pharcyde"
"The Black Eyed Peas","The Pharcyde"
"Declaime","The Pharcyde"
"Jneiro Jarel","The Pharcyde"
"The Knux","The Pharcyde"
"People Under the Stairs","The Pharcyde"
"CunninLynguists","The Pharcyde"
"Sol.illaquists of Sound","The Pharcyde"
"Subtitle","The Pharcyde"
"Dudley Perkins","The Pharcyde"
"The Procussions","The Pharcyde"
"Swollen Members","The Pharcyde"
"The Saturday Knights","The Pharcyde"
"Tyler, The Creator","The Pharcyde"
"Quelle Chris","The Pharcyde"
"Lando Chill","The Pharcyde"
"The Grouch & Eligh","The Pharcyde"
"Willie Isz","The Pharcyde"
"Dynas","The Pharcyde"
"N.A.S.A.","The Pharcyde"
"El Gant","The Pharcyde"
"Aceyalone","The Pharcyde"
"All Natural","The Pharcyde"
"IshDARR","The Pharcyde"
"Jurassic 5","The Pharcyde"
"Kwest tha Madd Ladd","The Pharcyde"
"Slum Village","The Pharcyde"
"Statik Kxng","The Pharcyde"
"Warm Brew","The Pharcyde"
"Wyclef Jean","The Police"
"Shinehead","The Police"
"Puff Daddy","The Police"
"Food for Animals","The Pop Group"
"23 Skidoo","The Pop Group"
"3OH!3","The Postal Service"
"Drive By","The Promise Ring"
"Terror Danjah","The Ragga Twins"
"J.J. Fad","The Real Roxanne"
"Dopestyle 1231","The Residents"
"Kid Rock","The Reverend Horton Heat"
